genome	genome_accession	source	protein_type	domains	domain_combination_type	count_raw	count_normalized_by_genome_size	count_normalized_by_total_proteins
GCF_000006805.1	GCF_000006805	mistdb	hk	HisKA_7TM,hole	domain_comb	1	3.889522016639375e-07	0.0003711952487008166
GCF_000006805.1	GCF_000006805	mistdb	hk	GAF_2,PAS_4	domain_comb	1	3.889522016639375e-07	0.0003711952487008166
GCF_000006805.1	GCF_000006805	mistdb	hk	hole	domain_comb	1	3.889522016639375e-07	0.0003711952487008166
GCF_000006805.1	GCF_000006805	mistdb	hk	PAS_4,PAS_8,PAS_9	domain_comb	1	3.889522016639375e-07	0.0003711952487008166
GCF_000006805.1	GCF_000006805	mistdb	hk	GAF,PAS_4,hole	domain_comb	1	3.889522016639375e-07	0.0003711952487008166
GCF_000006805.1	GCF_000006805	mistdb	hk	GAF_2,PAS,hole	domain_comb	1	3.889522016639375e-07	0.0003711952487008166
GCF_000006805.1	GCF_000006805	mistdb	hk	PAS_4,hole	domain_comb	2	7.77904403327875e-07	0.0007423904974016332
GCF_000006805.1	GCF_000006805	mistdb	hk	HAMP	domain_comb	1	3.889522016639375e-07	0.0003711952487008166
GCF_000006805.1	GCF_000006805	mistdb	hk	PAS,PAS_8,hole	domain_comb	1	3.889522016639375e-07	0.0003711952487008166
GCF_000007065.1	GCF_000007065	mistdb	hk	GAF_3,PAS_3,PAS_4,hole	domain_comb	1	2.4412006312944835e-07	0.0002876042565429968
GCF_000007065.1	GCF_000007065	mistdb	hk	CHASE4,PAS_4,hole	domain_comb	2	4.882401262588967e-07	0.0005752085130859936
GCF_000007065.1	GCF_000007065	mistdb	hk	CHASE4,hole	domain_comb	1	2.4412006312944835e-07	0.0002876042565429968
GCF_000007065.1	GCF_000007065	mistdb	hk	PAS_3,hole	domain_comb	1	2.4412006312944835e-07	0.0002876042565429968
GCF_000007065.1	GCF_000007065	mistdb	hk	PAS_3,dCache_1,hole	domain_comb	2	4.882401262588967e-07	0.0005752085130859936
GCF_000007065.1	GCF_000007065	mistdb	hk	GAF_3,PAS_4,hole	domain_comb	1	2.4412006312944835e-07	0.0002876042565429968
GCF_000007065.1	GCF_000007065	mistdb	hk	PAS_3,PAS_4,PAS_9	domain_comb	2	4.882401262588967e-07	0.0005752085130859936
GCF_000007065.1	GCF_000007065	mistdb	hk	PAS,PAS_8,PAS_9,PocR	domain_comb	1	2.4412006312944835e-07	0.0002876042565429968
GCF_000007065.1	GCF_000007065	mistdb	hk	PAS_3,PAS_4,PAS_9,PocR	domain_comb	1	2.4412006312944835e-07	0.0002876042565429968
GCF_000007065.1	GCF_000007065	mistdb	hk	PAS_3,PAS_4,hole	domain_comb	1	2.4412006312944835e-07	0.0002876042565429968
GCF_000007065.1	GCF_000007065	mistdb	hk	MEDS,PAS_3,PAS_4,PAS_9	domain_comb	1	2.4412006312944835e-07	0.0002876042565429968
GCF_000007065.1	GCF_000007065	mistdb	hk	MEDS,PAS,PAS_3,PAS_4,PAS_9	domain_comb	1	2.4412006312944835e-07	0.0002876042565429968
GCF_000007065.1	GCF_000007065	mistdb	hk	MEDS,PAS_3,PAS_4,PocR	domain_comb	1	2.4412006312944835e-07	0.0002876042565429968
GCF_000007065.1	GCF_000007065	mistdb	hk	MEDS,PAS,PAS_4,PAS_9	domain_comb	1	2.4412006312944835e-07	0.0002876042565429968
GCF_000007065.1	GCF_000007065	mistdb	hk	MASE3,PAS_3	domain_comb	2	4.882401262588967e-07	0.0005752085130859936
GCF_000007065.1	GCF_000007065	mistdb	hk	PAS_3,PAS_9,PocR,hole	domain_comb	1	2.4412006312944835e-07	0.0002876042565429968
GCF_000007065.1	GCF_000007065	mistdb	hk	HisKA_7TM,PAS	domain_comb	1	2.4412006312944835e-07	0.0002876042565429968
GCF_000007065.1	GCF_000007065	mistdb	hk	PAS,PocR	domain_comb	1	2.4412006312944835e-07	0.0002876042565429968
GCF_000007065.1	GCF_000007065	mistdb	hk	MEDS	domain_comb	1	2.4412006312944835e-07	0.0002876042565429968
GCF_000007065.1	GCF_000007065	mistdb	hk	PAS_3	domain_comb	1	2.4412006312944835e-07	0.0002876042565429968
GCF_000007065.1	GCF_000007065	mistdb	hk	GAF_3,PAS,PAS_3,PAS_9,hole	domain_comb	1	2.4412006312944835e-07	0.0002876042565429968
GCF_000007065.1	GCF_000007065	mistdb	hk	PAS_3,PAS_9	domain_comb	1	2.4412006312944835e-07	0.0002876042565429968
GCF_000007065.1	GCF_000007065	mistdb	hk	PAS_3,PAS_4	domain_comb	1	2.4412006312944835e-07	0.0002876042565429968
GCF_000007065.1	GCF_000007065	mistdb	hk	GAF_2,PAS,PAS_3,PAS_4,PAS_9,hole	domain_comb	1	2.4412006312944835e-07	0.0002876042565429968
GCF_000007065.1	GCF_000007065	mistdb	hk	PAS,PAS_8	domain_comb	1	2.4412006312944835e-07	0.0002876042565429968
GCF_000007065.1	GCF_000007065	mistdb	hk	PAS_9,hole	domain_comb	1	2.4412006312944835e-07	0.0002876042565429968
GCF_000007345.1	GCF_000007345	mistdb	hk	GAF_2,PAS_3,PAS_4,PAS_9	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	MEDS,PAS_3	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
