genome	genome_accession	ncbi_protein_accession	mist_protein_accession	protein_type	source	protein_length	domain_architecture	sensors_or_regulators	domain_counts	domains
GCF_000006805.1	GCF_000006805	WP_012289455.1	GCF_000006805.1-VNG_RS08490	hk	mistdb	555	HisKA_7TM:15-235,hole:236-343,HisKA:344-412	HisKA_7TM	HisKA:1,HisKA_7TM:1,hole:1	HisKA,HisKA_7TM,hole
GCF_000006805.1	GCF_000006805	WP_010903499.1	GCF_000006805.1-VNG_RS07895	hk	mistdb	506	PAS_4:28-140,GAF_2:158-291,HisKA:305-365,HATPase_c:403-506	PAS_4,GAF_2	GAF_2:1,HATPase_c:1,HisKA:1,PAS_4:1	GAF_2,HATPase_c,HisKA,PAS_4
GCF_000006805.1	GCF_000006805	WP_010902998.1	GCF_000006805.1-VNG_RS05360	hk	mistdb	444	hole:1-289,HATPase_c_2:290-437	nodomain	HATPase_c_2:1,hole:1	HATPase_c_2,hole
GCF_000006805.1	GCF_000006805	WP_010902997.1	GCF_000006805.1-VNG_RS05355	hk	mistdb	606	PAS_8:27-90,PAS_9:156-254,PAS_4:273-380,<HisKA>:349-497,HATPase_c:498-606	PAS_8,PAS_9,PAS_4	<HisKA>:1,HATPase_c:1,PAS_4:1,PAS_8:1,PAS_9:1	<HisKA>,HATPase_c,PAS_4,PAS_8,PAS_9
GCF_000006805.1	GCF_000006805	WP_010902846.1	GCF_000006805.1-VNG_RS04585	hk	mistdb	651	hole:1-156,PAS_4:157-262,GAF:288-428,HisKA:443-503,HATPase_c:541-646	PAS_4,GAF	GAF:1,HATPase_c:1,HisKA:1,PAS_4:1,hole:1	GAF,HATPase_c,HisKA,PAS_4,hole
GCF_000006805.1	GCF_000006805	WP_010902510.1	GCF_000006805.1-VNG_RS02890	hk	mistdb	637	hole:1-163,GAF_2:164-293,PAS:306-414,HisKA:430-491,HATPase_c:529-635	GAF_2,PAS	GAF_2:1,HATPase_c:1,HisKA:1,PAS:1,hole:1	GAF_2,HATPase_c,HisKA,PAS,hole
GCF_000006805.1	GCF_000006805	WP_010902493.1	GCF_000006805.1-VNG_RS02805	hk	mistdb	542	PAS_4:27-142,hole:143-321,HisKA:322-389,HATPase_c:430-539	PAS_4	HATPase_c:1,HisKA:1,PAS_4:1,hole:1	HATPase_c,HisKA,PAS_4,hole
GCF_000006805.1	GCF_000006805	WP_010902892.1	GCF_000006805.1-VNG_RS04830	hk	mistdb	456	hole:1-139,PAS_4:140-244,<HisKA>:208-356,HATPase_c:357-454	PAS_4	<HisKA>:1,HATPase_c:1,PAS_4:1,hole:1	<HisKA>,HATPase_c,PAS_4,hole
GCF_000006805.1	GCF_000006805	WP_010902862.1	GCF_000006805.1-VNG_RS04665	hk	mistdb	414	HAMP:91-143,<HisKA>:148-296,HATPase_c:297-396	HAMP	<HisKA>:1,HAMP:1,HATPase_c:1	<HisKA>,HAMP,HATPase_c
GCF_000006805.1	GCF_000006805	WP_010902645.1	GCF_000006805.1-VNG_RS03565	hk	mistdb	765	hole:1-141,PAS_8:142-210,hole:211-415,PAS:416-525,HisKA:544-605,HATPase_c:642-758	PAS_8,PAS	HATPase_c:1,HisKA:1,PAS:1,PAS_8:1,hole:2	HATPase_c,HisKA,PAS,PAS_8,hole
